Mean steps per day 2019;;Mean steps per day 2020;;change;;;;Gem step 2019;Gem step 2020;;year;gender;bmi;living;stap_om_1_aantal;stap_om_2_aantal;stap_om_3_aantal;stap_om_4_aantal;stap_om_5_aantal;stap_om_6_aantal;stap_om_7_aantal;;Kolom1;Kolom3;Kolom4;Kolom5;Kolom6;Kolom7;Kolom8;Kolom9;Kolom10;Kolom11;Kolom12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Observations;82;94;;;;;;11218,14;5820,142857;;2019;Male;23.6;Living_with_parents;18769,00;16589,00;7969,00;13499,00;6739,00;4564,00;10398,00;;;Male;32;Living_with_parents;5176,00;6805,00;7072,00;5374,00;3201,00;6713,00;6400,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hypothesized Mean Difference;0;;;;;;;7826,29;4628,571429;;2019;Male;19.9;Living_with_parents;11973,00;9937,00;14253,00;2907,00;4456,00;7818,00;3440,00;;;Male;21.7;Moved_out;10207,00;4270,00;3525,00;1494,00;1448,00;3921,00;7535,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
df;159;;;;;;;5328,00;3989,142857;;2019;Male;27.4;Living_with_parents;6605,00;7647,00;3817,00;4595,00;3210,00;5187,00;6235,00;;;Male;24;Living_with_parents;2617,00;7028,00;2653,00;2418,00;1953,00;5656,00;5599,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
t Stat;9,516551699;;;;;;;5248,14;4461,714286;;2019;Male;19.8;Living_with_parents;6746,00;6253,00;10580,00;1042,00;2125,00;3643,00;6348,00;;;Male;23;Living_with_parents;5629,00;3245,00;8406,00;732,00;3532,00;4738,00;4950,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P(T<=t) one-tail;1,41263E-17;;;;;;;3417,57;5001;;2019;Male;24;Moved_out;2920,00;3518,00;3659,00;0,00;3368,00;5935,00;4523,00;;;Male;19.2;Living_with_parents;3100,00;3063,00;3044,00;700,00;5053,00;8047,00;12000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
t Critical one-tail;1,654493442;;;;;;;9273,43;4838,714286;;2019;Male;17.5;Living_with_parents;12257,00;13984,00;12975,00;5560,00;11835,00;3957,00;4346,00;;;Male;22.6;Moved_out;6546,00;4094,00;5574,00;4067,00;4528,00;7141,00;1921,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P(T<=t) two-tail;2,82526E-17;;;;;;;6199,71;2369,571429;;2019;Male;23;Moved_out;12034,00;6150,00;5989,00;0,00;0,00;5413,00;13812,00;;;Male;NA;Living_with_parents;2649,00;3412,00;234,00;187,00;1901,00;3692,00;4512,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
t Critical two-tail;1,974996177;;;;;;;7075,14;1168,142857;;2019;Male;22;Living_with_parents;11955,00;11805,00;4847,00;7527,00;1859,00;4725,00;6808,00;;;Male;19.7;Moved_out;1563,00;1103,00;1573,00;1292,00;1051,00;243,00;1352,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;7609,86;4325,857143;;2019;Male;22.4;Moved_out;5325,00;9080,00;6591,00;7092,00;9095,00;7163,00;8923,00;;;Male;20;Moved_out;5099,00;5219,00;4126,00;3744,00;2411,00;4214,00;5468,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;11066,83;3186,714286;;2019;Male;19.4;Living_with_parents;13047,00;10023,00;5803,00;NA;4580,00;12947,00;20001,00;;;Male;21;Living_with_parents;3983,00;4243,00;1010,00;3279,00;3354,00;1804,00;4634,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
